cluster_index, module_index, channel0, channel1

Event: 0
20,2810,46,1048
20,2810,47,1048
20,2810,45,1049
20,2810,46,1049
20,2810,44,1050
20,2810,45,1050
20,2810,43,1051
20,2810,44,1051
20,2810,42,1052
20,2810,43,1052
20,2810,42,1053
20,2810,41,1054
20,2810,40,1055
20,2810,39,1056
20,2810,40,1056
20,2810,38,1057
20,2810,39,1057
20,2810,38,1058
20,2810,37,1059
20,2810,36,1060
20,2810,35,1061
20,2810,36,1061
20,2810,34,1062
20,2810,33,1063
20,2810,34,1063
20,2810,32,1064
20,2810,33,1064
20,2810,32,1065
20,2810,31,1066
20,2810,30,1067
20,2810,31,1067
20,2810,29,1068
20,2810,30,1068
20,2810,28,1069
20,2810,29,1069
20,2810,27,1070
20,2810,28,1070
20,2810,26,1071
20,2810,27,1071
20,2810,26,1072
20,2810,25,1073
20,2810,26,1073
20,2810,24,1074
20,2810,25,1074
20,2810,23,1075
20,2810,24,1075
20,2810,22,1076
20,2810,23,1076
20,2810,22,1077
20,2810,21,1078
20,2810,20,1079
20,2810,21,1079
20,2810,19,1080
20,2810,20,1080
20,2810,18,1081
20,2810,19,1081
20,2810,17,1082
20,2810,18,1082
20,2810,16,1083
20,2810,17,1083
20,2810,16,1084
20,2810,15,1085
20,2810,14,1086
20,2810,15,1086
20,2810,13,1087
20,2810,14,1087
20,2810,12,1088
20,2810,13,1088
20,2810,11,1089
20,2810,12,1089
20,2810,11,1090
20,2810,10,1091
20,2810,9,1092
20,2810,10,1092
20,2810,8,1093
20,2810,9,1093
20,2810,7,1094
20,2810,8,1094
20,2810,6,1095
20,2810,7,1095
20,2810,6,1096
24,2810,55,1096
20,2810,5,1097
20,2810,6,1097
24,2810,55,1097
20,2810,4,1098
20,2810,3,1099
20,2810,4,1099
20,2810,2,1100
20,2810,3,1100
20,2810,2,1101
20,2810,0,1102
20,2810,1,1102
20,2810,0,1103
25,4296,202,25
25,4296,203,25
26,4465,277,41
27,4486,2,42
28,4570,270,87
29,4741,83,50
29,4741,84,50
30,5303,171,59
30,5303,172,59
31,5536,219,26
32,5704,209,89
33,5917,280,73
34,5938,7,72
34,5938,8,72
35,6688,308,68
36,6709,35,72
37,7027,81,5
38,7219,272,1
39,7240,1,1
40,7577,77,14
40,7577,78,14
41,8619,142,70
42,9042,289,71
42,9042,290,71
43,9063,14,72
43,9063,15,72
44,9319,202,4
45,9761,114,50
45,9761,115,50
46,9761,128,51
47,9761,146,51
48,9761,120,52
48,9761,121,52
49,9761,154,52
50,9761,157,52
51,12620,157,0
52,12621,156,0
53,13132,118,0
54,13133,122,0
55,13434,271,0
56,13435,283,0
56,13435,284,0
57,13940,282,0
58,13941,279,0
58,13941,280,0
59,15558,60,0
59,15558,61,0
60,15559,63,0
61,16198,226,0
61,16198,227,0
61,16198,228,0
61,16198,229,0
61,16198,230,0
61,16198,231,0
61,16198,232,0
62,16199,237,0
62,16199,238,0
63,16626,209,0
63,16626,210,0
64,16627,221,0
65,17344,102,0
66,17345,107,0

Event: 3
0,431,133,748
1,445,150,337
1,445,150,338
1,445,151,338
2,571,133,769
3,613,315,9
3,613,315,10
3,613,315,11
3,613,315,12
4,626,58,1437
4,626,58,1438
4,626,59,1439
5,655,88,924
6,752,210,812
6,752,210,813
6,752,210,814
7,823,129,55
8,1075,88,968
8,1075,88,969
9,1103,28,1149
9,1103,28,1150
10,1159,307,1214
11,1173,28,1223
11,1173,28,1224
12,1353,65,1414
12,1353,65,1415
12,1353,65,1416
13,1424,172,1147
13,1424,173,1147
13,1424,173,1148
14,1761,307,1141
15,1986,92,77
15,1986,92,78
16,2263,157,416
16,2263,157,417
16,2263,157,418
17,2306,316,714
17,2306,316,715
18,2460,40,701
18,2460,40,702
18,2460,41,702
19,2881,231,1413
19,2881,230,1414
19,2881,231,1414
20,4091,45,31
21,4133,45,38
22,4338,149,55
22,4338,150,55
23,4360,253,74
23,4360,254,74
24,5036,265,62
24,5036,266,62
25,5345,318,66
25,5345,318,67
26,5366,44,71
26,5366,45,71
26,5366,44,72
27,5431,242,42
28,6002,265,52
29,6339,50,2
30,6772,178,55
31,7068,64,87
31,7068,64,88
32,7682,185,80
33,7830,88,21
34,8145,225,40
35,8703,311,22
35,8703,312,22
36,8724,36,27
37,8979,203,34
38,12052,269,0
39,12053,267,0
40,12745,56,0
41,12746,44,0
42,13256,80,0
42,13256,81,0
43,13257,78,0
44,14110,265,0
45,14111,267,0
46,14784,146,0
46,14784,147,0
47,14784,152,0
47,14784,153,0
48,14785,152,0
48,14785,153,0
49,15680,256,0
50,15681,264,0
50,15681,265,0
51,16238,171,0
52,16239,183,0
53,17556,142,0
54,17557,153,0

Event: 4
0,458,113,398
0,458,112,399
1,542,85,1082
2,571,333,681
2,571,333,682
2,571,333,683
2,571,333,684
2,571,333,685
3,585,78,706
3,585,77,707
3,585,78,707
3,585,77,708
3,585,77,709
4,612,242,284
4,612,242,285
4,612,242,286
4,612,242,287
4,612,242,288
5,625,276,784
5,625,276,785
6,625,278,1092
6,625,277,1093
6,625,278,1093
7,626,296,177
7,626,295,178
7,626,296,178
7,626,295,179
