sp_x, sp_y, sp_z

Event: 0
50.1633,-45.7335,-326.264
-4.87266,67.5994,-41.7006
-6.759,113.372,-56.2192
-6.81646,115.061,-56.7521
-82.3466,80.2372,128.324
-7.80576,-113.359,388.809
-7.99942,-115.152,395.284
-7.35418,169.968,-74.075
-124.434,117.125,200.625
402.135,-501.736,-2942.5
358.307,-424.643,-2542.5
318.144,-361.512,-2202.5
273.714,-297.97,-1852.5
232.615,-244.175,-1547.5
198.029,-202.058,-1297.5
-4.52363,260.684,-103.1
-196.343,174.634,319.5
-29.1628,-260.449,923.7
4.07868,359.384,-134.3
-275.409,230.065,444.2
26.0983,498.446,-178
-397.171,302.876,626.8
66.0664,655.906,-229.6
-545.501,374.25,838.6
-50.8355,-360.208,1292.5
-70.3969,-431.325,1557.5
-96.5318,-511.121,1857.5
-130.483,-598.983,2197.5

Event: 12
31.5096,5.61727,-11.4521
33.3384,5.91939,-11.8177
-28.0378,-18.6174,6.225
27.1787,-17.1287,-13.9567
28.2118,-17.7706,-14.275
-14.2851,28.6293,10.3371
-26.6917,-17.7272,5.675
67.5432,11.2669,-18.5667
-29.5339,61.0602,27.773
-57.2762,-37.2056,18.1071
57.8291,-35.6456,-23.6892
112.518,17.1704,-27.3683
-48.5429,104.224,50.6379
-97.1819,-61.2386,33.9693
97.4454,-58.2648,-36.125
98.8359,-59.0401,-36.575
169.257,22.8881,-38.4503
-69.4552,155.966,77.6391
-145.873,-88.4651,52.9505
-144.129,-90.6047,89.775
-142.522,-92.5769,105.468
-131.17,-107.333,-21.1403
-132.818,-105.614,14.8482
-135.115,-103.219,49.925
-138.519,-99.669,76.5297
-126.928,-113.262,-45.7869
-126.42,-113.713,-43.3906
-125.441,-114.582,-40.6303
-125.819,-114.246,-39.3536
-126.617,-113.538,-38.175
-129.501,-110.978,-37.6692
-129.101,-111.334,-35.6109
-124.352,-115.548,-28.2927
-132.099,-108.673,-22.0488
-124.714,-115.226,-1.88085
-124.052,-115.814,28.8014
-120.643,-120.669,61.575
-121.053,-120.36,74.0103
-121.122,-120.308,98.225
-120.729,-120.604,98.6281
146.85,-84.6303,-51.325
148.297,-85.3918,-51.775
256.89,27.8483,-55.1
-100.47,243.941,122.3
-98.6099,238.127,119.9
-227.896,-129.353,83.9
227.995,-123.16,-75.5
357.246,27.3415,-75.5
-127.523,338.17,169.6
-320.485,-168.742,118.7
-310.664,-178.124,112.7
-298.199,-206.726,118.7
-307.038,-186.444,154.7
-301.105,-200.057,154.7
-289.779,-210.034,121.1
-292.702,-204.966,155.9
-291.765,-206.59,158.3
321.178,-160.844,-103.1
502.387,15.7956,-103.1
496.719,16.366,-101.9
-156.655,477.931,239.2
-155.675,472.174,236.8
-455.094,-214.936,168.4
-449.378,-213.155,166
454.949,-204.154,-140.3
658.285,-11.3461,-133.1
-174.592,635.576,316.5
-612.246,-252.693,224.8
614.426,-240.177,-184

Event: 13
32.5811,-3.26837,-67.575
3.73093,-31.7371,-36.5345
29.8468,-11.9245,-53.075
24.2087,21.6224,-55.425
69.1145,-7.69247,-78.975
8.87135,-68.3273,-12.2722
62.9987,-26.0864,-48.075
67.3236,-7.46172,-78.4137
50.6872,46.2757,-53.075
16.1993,-112.756,17.3628
105.521,-45.5265,-41.5488
113.354,-14.2058,-92.875
83.0333,77.8824,-50.175
122.76,119.075,-46.325
26.931,-167.37,54.0528
27.2654,-169.004,55.1579
155.554,-70.1977,-33.725
168.123,-23.8948,-110.121
121.696,117.905,-46.425
48.5478,-256.743,115.1
234.761,-113.707,-21
255.869,-43.6041,-137.9
182.112,186.202,-40.2
77.1158,-351.197,180.4
317.881,-165.677,-7.8
354.238,-71.8008,-169.6
245.968,266.208,-33.6
245.611,266.691,-34.2
244.499,268.2,-30.6
322.618,380.244,-24.6
127.139,-481.848,272.1
435.609,-252.211,12.6
430.921,-248.443,12.6
485.271,-120.143,-212.8
401.513,522.83,-13.8
201.597,-632.122,381.8
198.433,-626.479,377.7
553.324,-356.646,35.4
633.617,-190.596,-263.2

Event: 14
-18.8593,-25.8205,-20.6922
-18.8987,-25.7897,-0.956486
-9.32431,-30.5739,-94.8112
-20.1353,-27.5505,-19.9322
-20.1776,-27.5386,1.13125
-30.9645,7.92789,-39.025
-33.2072,8.46127,-39.525
-66.65,16.2671,-47.125
