spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.0571469,-15.1479
-0.901428,32.0783,19.1374,-1.89424,67.9586,57.4273,-3.13525,113.809,106.369,399.998,-15.0955
-0.901428,32.0783,19.1374,-3.13525,113.809,106.369,-4.6614,170.403,166.781,-0.0150432,-15.1008
-1.89424,67.9586,57.4273,-3.13525,113.809,106.369,-4.6614,170.403,166.781,-0.0472631,-15.1156

Event: 2
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,399.968,-63.7408
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,399.968,-63.7408
-25.31,-20.7581,-69.775,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0427355,-63.7523
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0630297,-63.7846
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-131.031,-107.477,-94.9356,-0.0741769,-63.7846
-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.129497,-63.7865
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,399.968,-63.7408
-25.31,-20.7581,-69.775,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0427355,-63.7523
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0630297,-63.7846
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-131.031,-107.477,-94.9356,-0.0741769,-63.7846
