sp_x, sp_y, sp_z

Event: 0
150.66,-79.1759,165.203
157.547,-63.339,291.526
162.615,-48.1052,-95.0463
162.685,-47.7623,-14.2466
164.278,-48.6117,-96.4543
164.325,-48.223,-13.6314
-498.578,420.358,-1842.5
-418.579,353.087,-1542.5
-355.149,299.818,-1302.5
261.3,8.60231,-87.5
-7.045,261.065,263.2
-50.8477,256.727,512.7
-41.3479,256.794,-268
-66.656,249.542,77.9
-99.8042,244.051,97.1
-97.4713,238.505,94.7
-201.896,170.539,-722.9
-198.516,173.031,-154.7
-196.917,166.443,-703.8
-226.299,136.642,-371.7
-194.179,169.22,-151.1
-215.189,147.911,-113
-215.873,147.216,-111.5
-239.476,107.121,83.9
-220.792,133.223,-360.3
-254.023,66.8644,30.6
247.115,81.3063,89.3
-258.465,10.1596,151.1
-262.129,-14.09,-278.1
-244.321,-98.1764,52.2
-246.699,-83.822,377.1
-238.995,-96.0006,48.6
-236.587,-103.236,48.6
-237.321,-101.029,52.2
-238.837,-96.475,53.4
-235.451,-106.651,281.7
-213.21,-147.298,-498.7
-214.383,-145.034,-270.4
-163.773,-199.55,145.1
-153.305,-209.871,-242.8
-128.344,-224.284,-82.7
-64.9866,-254.963,118.1
-87.5204,-243.682,528.7
-43.6041,-255.869,-42.6
166.54,-203.233,6.6
200.568,-171.518,664.2
209.344,-153.839,-11.4
204.816,-158.432,250
195.864,-167.511,649.2
229.697,-120.782,229.6
245.412,-98.8267,431
223.76,-129.076,-188.8
250.699,-73.5038,18.6
239.284,-96.3059,421.4
250.397,-74.1074,-168.4
137.924,225.036,220
141.822,221.192,-192.4
125.905,226.03,-37.8
134.687,219.744,212.8
73.5709,250.666,-224.8
63.2429,255.836,-58.7
32.1655,259.497,118.1
30.0922,260.154,121.1
61.763,250.111,-57.5
361.827,12.0877,-92.3
173.854,312.301,-60.5
102.393,348.531,-354.3
100.7,342.883,-346.5
86.1805,348.588,-88.7
44.1464,356.706,190
-9.64052,361.457,370.5
-57.6198,358.391,-342.3
-93.645,349.965,92.3
-69.7612,351.745,738.1
-56.6975,352.719,-338.1
-137.546,336.278,145.1
-135.34,330.773,141.5
-273.998,231.374,-995.5
-269.744,235.317,-199.6
-309.03,186.644,-546.7
-295.081,202.84,-170.8
-330.14,147.711,100.7
-346.558,91.3461,52.2
-357.882,14.0158,200.8
-362.959,-19.5777,-347.7
-356.94,-19.2473,-342.9
341.092,112.047,154.7
-336.681,-135.409,101.9
-340.424,-115.584,530.5
-331.392,-133.333,99.5
-298.498,-206.039,-660
-299.68,-203.326,-372.063
-227.873,-277.774,160.7
-214.003,-292.734,-333.3
-179.995,-314.756,-133.1
-121.619,-338.36,718.1
-60.9113,-358.517,-22.2
-88.4143,-347.71,152.3
-59.9375,-352.468,-23.4
228.809,-278.949,15
285.529,-220.683,332.1
272.494,-232.768,887.2
291.964,-214.717,-57.5
313.778,-181.132,-231.4
317.12,-166.792,302.1
348.671,-102.128,55.1
331.977,-133.684,568.3
348.11,-103.189,-251.2
342.992,-100.421,53.4
342.553,-101.538,-246.4
188.52,307.415,327.3
193.975,302.716,-278.1
176.813,317.497,-62.3
502.567,16.9821,-99.5
496.745,16.74,-99.5
271.132,423.611,-405.8
251.464,431.844,477.184
267.996,418.65,-401
243.611,438.112,-94.7
141.016,479.38,-527.5
121.059,488.579,-134.3
119.659,482.693,-131.9
61.2078,496.094,293.7
-13.1005,498.82,517.5
-79.6851,496.921,-443
-97.4412,490.028,1066.4
-99.2682,489.934,1069.44
-100.387,489.876,1072.4
-78.8159,490.985,-438.2
-129.072,481.591,111.5
-190.352,464.693,210.4
-377.076,329.206,-268
-415.186,285.184,-257.2
-429.225,259.58,-800.9
-410.073,281.688,-253.6
-455.146,203.834,122.3
-482.35,127.214,82.7
-503.229,19.5699,273.3
-497.075,19.3552,270.4
474.705,155.822,246.4
-497.457,-26.9903,-440.6
-473.87,-160.625,749.3
-462.522,-186.18,170.8
-414.451,-285.773,-878.2
-416.392,-281.356,-510.3
-409.437,-282.348,-868.6
-316.877,-386.58,181.6
-294.036,-402.095,-451.4
-248.241,-434.416,-199.6
-169.786,-471.737,984.3
-123.784,-487.323,204.4
-84.0281,-495.755,6.6
-122.335,-481.712,202
-83.0322,-490.034,5.4
317.32,-386.653,25.8
394.959,-305.048,444.2
403.307,-296.85,-119.9
435.903,-251.871,-290.1
442.329,-232.906,404.6
430.699,-248.745,-287.7
465.148,-187.622,779.3
483.036,-141.168,105.5
482.08,-143.039,-363.3
477.254,-139.553,103.1
476.51,-141.355,-358.5
663.43,22.6923,-107.9
657.139,22.4764,-106.7
347.483,565.621,666
356.495,557.472,-546.7
344.127,560.302,658.8
321.383,578.454,-131.9
186.283,632.226,-728.9
159.935,644.22,-184
158.426,638.124,-181.6
80.8436,658.588,415.4
80.1183,652.432,410.6
-16.9737,659.286,688.8
-104.313,652.177,-556.3
-170.723,636.07,134.3
-250.065,609.638,285.3
-498.637,435.803,-345.9
-545.501,374.25,-351.3
-565.531,342.283,-1088.4
-603.128,270.463,148.7
-636.968,168.386,118.7
628.033,205.784,352.5
-662.025,25.3781,352.5
-658.344,-36.0731,-551.5
-627.018,-212.153,1000.5
-613.455,-247.277,253.6
-542.498,-373.759,-1119.2
-545.329,-368.131,-663.6
-419.75,-512.389,206.8
-390.819,-533.771,-594.7
-327.479,-573.589,-277.5
-162.938,-642.853,262
-161.438,-636.971,260.8
-109.754,-649.518,39
417.768,-508.479,39
524.299,-404.483,575.5
529.903,-390.465,-190
574.208,-332.072,-356.1
584.525,-308.16,521.5
568.925,-328.991,-353.7
610.702,-246.687,1010.7
634.579,-188.645,-491.5
406.572,-346.965,1302.5
-116.895,587.313,1297.5
-225.422,-625.481,1292.5
484.184,-412.936,1542.5
-235.625,-68.6779,2192.5
-235.824,-68.0328,2192.5

Event: 2
32.5204,-2.76497,-20.675
32.4793,-2.42448,47.8348
28.4085,14.6772,-61.1321
26.8143,17.5093,-40.6816
29.9292,11.9758,-8.54425
30.7631,10.4944,47.5782
31.131,9.84079,49.5565
28.1142,15.2,106.271
-17.4827,-26.9009,-103.582
-25.3179,-20.7519,-69.775
-16.4207,-27.7344,-55.437
-18.2325,-28.0826,-104.692
-16.862,-28.4659,-56.2802
-10.7689,-30.1699,7.1097
-4.84614,-31.8263,31.4337
-3.33881,-32.5896,-62.975
7.35468,-31.3001,2.325
1.36321,-32.0226,27.8517
-5.00578,-32.7906,31.8671
-0.380781,-32.2329,51.025
7.61048,-32.3864,2.471
20.0356,-26.2306,-155.736
20.4185,-25.7427,-75.9868
21.7245,-24.0786,-69.7979
23.1041,-22.3207,46.4808
28.5809,-16.4509,-54.825
25.1527,20.8815,-43.431
28.252,18.4492,-41.579
11.443,29.9814,-65.8402
4.46092,31.9341,-23.4825
9.32431,30.5739,-0.834167
9.80583,30.4393,1.31327
16.5953,28.5405,3.675
13.3691,29.4428,17.7353
4.58756,32.7401,-22.9725
-18.2936,26.3728,59.125
-21.078,24.9024,-44.8956
-19.0636,27.4692,59.125
-29.1922,14.2649,-85.8096
-30.7759,8.60202,-22.9736
-31.852,4.75453,-5.08198
-32.1142,-0.603585,-53.6621
-32.4973,2.5734,-27.3763
-32.7786,4.9065,-5.6409
-31.8588,-2.72168,165.12
-29.1791,-13.3082,-54.5735
-30.7876,-10.4508,17.525
68.8908,-5.83709,-33.0992
68.8085,-5.1547,34.0549
64.541,20.438,65.5701
-26.3188,62.87,-38.6778
-43.7328,51.6766,-67.4054
-38.7995,55.9089,58.025
-44.6396,52.7719,-68.3234
-61.8457,30.209,-110.456
-65.1937,18.2375,-67.2591
-67.4838,5.36784,-94.1087
-66.4697,18.6239,-68.9035
-67.1253,10.0542,-26.5545
-67.4917,-5.76619,282.363
-67.4917,-5.76619,282.589
-68.8444,5.45255,-96.6907
-68.0276,-1.32154,-65.1019
-69.3009,-5.89724,288.478
-61.8154,-28.1924,-28.1522
-65.2277,-22.1305,21.125
-52.3603,-42.9359,-76.225
59.5344,32.2445,226.78
60.1721,31.1116,-127.856
63.4073,25.3643,-36.6367
65.9358,20.8724,66.2444
65.1926,22.1927,82.2236
-53.6372,-43.9605,-76.525
-37.0728,-57.1058,-132.039
-34.5752,-58.3715,-90.2343
-22.812,-63.9144,-0.974998
-6.90287,-67.3663,-62.125
-10.2037,-67.1138,47.875
-7.05657,-69.0378,-62.125
-0.786347,-68.2818,40.796
2.93668,-67.8329,69.6947
15.5436,-66.1432,6.575
41.1523,-53.8904,-237.443
42.0631,-53.1091,-110.577
43.2421,-54.5526,-112.421
45.1492,-52.1226,-111.778
44.1766,-53.3619,-109.747
46.0287,-51.0019,-99.3203
48.9612,-47.2652,109.091
58.7558,-33.817,-45.375
60.8928,32.9898,231.979
61.7745,31.9621,-131.229
52.0999,43.2395,-105.287
57.1785,37.3195,-59.6126
67.4571,-5.71682,-32.6105
53.321,44.2087,-108.06
34.0846,58.6201,9.075
